#                                                                     
#  /$$     /$$ /$$$$$$  /$$      /$$ /$$$$$$$   /$$$$$$               
# |  $$   /$$//$$__  $$| $$$    /$$$| $$__  $$ /$$__  $$              
#  \  $$ /$$/| $$  \ $$| $$$$  /$$$$| $$  \ $$| $$  \ $$              
#   \  $$$$/ | $$$$$$$$| $$ $$/$$ $$| $$$$$$$ | $$  | $$              
#    \  $$/  | $$__  $$| $$  $$$| $$| $$__  $$| $$  | $$              
#     | $$   | $$  | $$| $$\  $ | $$| $$  \ $$| $$  | $$              
#     | $$   | $$  | $$| $$ \/  | $$| $$$$$$$/|  $$$$$$/              
#     |__/   |__/  |__/|__/     |__/|_______/  \______/               
#                                                                     
# Version 5.3.0 Revision 23927 Hash (prev commit) 1730222ea           
#                       Branch is                                     
#            MPI+OpenMP+SLK+HDF5_MPI_IO Build                         
#                http://www.yambo-code.eu                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : PPA
# PPA imaginary Energy                            :   27.2113800    [ev]
# RIM G`s                                         :  101
# RIM random pts                                  :  1000000
# dS/dw steps                                     :  2
# dS/dw step                                      :  0.100000001    [ev]
# X G`s                                           :   433 [used]
# X G`s                                           :   433 [disk]
# X bands                                         :    1  200
# X poles                                         :   100.000000    [o/o]
# X e/h E range                                   :  -1.00000000     -1.00000000    [ev]
# X Hxc Kernel                                    : HARTREE
# X BZ energy Double Grid                         : no
# X Optical Averaged directions                   : none
# Sc/G bands                                      :    1  200
# Sc/G damping                                    :  0.100000001    [ev]
# Sc bands terminator                             : yes
# Sc terminator kind                              : BG
# Sc Terminator pole                              :   40.8170751   
# Sx RL components                                :   8003
#                                                 
# QP @ state[ 1 ] K range                         :    1   65
# QP @ state[ 1 ] b range                         :   29   49
# GF energies kind                                : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# Xs energies kind                                : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
# Xs WF`s kind                                    : Perdew, Burke & Ernzerhof(X)+Perdew, Burke & Ernzerhof(C)
#
#
#    Eo [eV]            DeltaE [eV]
#
    -9.10480364       -0.780661324   
    -9.08164106       -0.764483138   
    -9.07840367       -0.759030618   
    -9.07513504       -0.716558695   
    -9.06440023       -0.742161145   
    -9.05593252       -0.747191207   
    -9.03334277       -0.764013575   
    -9.02698093       -0.742055872   
    -8.98531125       -0.738089732   
    -8.97174602       -0.735472535   
    -8.92598818       -0.728721297   
    -8.90299375       -0.732713631   
    -8.89666891       -0.720171909   
    -8.82743546       -0.732004215   
    -8.81270635       -0.727126065   
    -8.75559974       -0.726581610   
    -8.75234984       -0.723969261   
    -8.72629863       -0.720576912   
    -8.71877415       -0.717389081   
    -8.71442574       -0.719047195   
    -8.64679545       -0.731390514   
    -8.63584958       -0.715703606   
    -8.62695784       -0.695703597   
    -8.60704440       -0.726424271   
    -8.58747178       -0.716154063   
    -8.56475666       -0.683068164   
    -8.56083629       -0.713555194   
    -8.54459727       -0.682895600   
    -8.53407412       -0.677563497   
    -8.52616601       -0.703208115   
    -8.50503171       -0.682505790   
    -8.49795846       -0.652373126   
    -8.48085172       -0.680268741   
    -8.45919407       -0.667489699   
    -8.45303489       -0.679905732   
    -8.44536007       -0.693182574   
    -8.44258932       -0.743029731   
    -8.42932020       -0.686723402   
    -8.42245973       -0.732779391   
    -8.41694509       -0.712384078   
    -8.38940559       -0.706473121   
    -8.37549700       -0.695716410   
    -8.34942338       -0.695321706   
    -8.34847873       -0.710952138   
    -8.33411463       -0.697498689   
    -8.31490034       -0.730392746   
    -8.28959343       -0.701669555   
    -8.27328092       -0.723518222   
    -8.25787162       -0.714280305   
    -8.25199810       -0.704700455   
    -8.25170070       -0.705012454   
    -8.25149114       -0.710556451   
    -8.23427180       -0.735174088   
    -8.23217150       -0.735484202   
    -8.21803965       -0.730822636   
    -8.21712949       -0.730683047   
    -8.19453533       -0.711059230   
    -8.19405913       -0.709894253   
    -8.18663399       -0.721543022   
    -8.18324142       -0.676556359   
    -8.18013764       -0.719862451   
    -8.17925856       -0.721302769   
    -8.15681598       -0.738811546   
    -8.15626151       -0.738913811   
    -8.14570044       -0.720132392   
    -8.14551113       -0.720393687   
    -8.13395820       -0.730564514   
    -8.13340728       -0.728910641   
    -8.12196626       -0.738875646   
    -8.12168167       -0.739540430   
    -8.12140332       -0.737226451   
    -8.11817273       -0.726540296   
    -8.11774780       -0.727517135   
    -8.10957060       -0.741942343   
    -8.10926868       -0.742051686   
    -8.10439863       -0.734683993   
    -8.10429595       -0.734268629   
    -8.10410403       -0.733613272   
    -8.10083010       -0.691938318   
    -8.09843864       -0.737515087   
    -8.09830744       -0.736534030   
    -8.09680538       -0.738265249   
    -8.09669606       -0.739157365   
    -8.09427214       -0.759354693   
    -8.09423982       -0.761560784   
    -8.09329975       -0.724581381   
    -8.04312565       -0.700866361   
    -8.00857265       -0.696683044   
    -7.99337779       -0.698512336   
    -7.97470286       -0.705096103   
    -7.87581969       -0.731348954   
    -7.80521920       -0.717708338   
    -7.76317190       -0.720665911   
    -7.74948969       -0.710273903   
    -7.73686456       -0.728422643   
    -7.62971564       -0.733968166   
    -7.55671787       -0.731055141   
    -7.52016292       -0.718909470   
    -7.51982795       -0.719884201   
    -7.48748615       -0.720665787   
    -7.38386483       -0.717724161   
    -7.38284765       -0.717113803   
    -7.31927073       -0.693519658   
    -7.31875099       -0.693558557   
    -7.29730819       -0.679919259   
    -7.24862030       -0.732610907   
    -7.24764624       -0.733327723   
    -7.15607424       -0.715993821   
    -7.15548141       -0.716837939   
    -7.10902908       -0.710582241   
    -7.10883036       -0.709505046   
    -7.03637843       -0.731050916   
    -7.03579402       -0.730103477   
    -6.96341552       -0.724719020   
    -6.96326147       -0.724372642   
    -6.96312313       -0.725518574   
    -6.93894854       -0.741289978   
    -6.93884618       -0.743346359   
    -6.86492774       -0.733671252   
    -6.86462029       -0.738284273   
    -6.81535675       -0.727024054   
    -6.81531194       -0.728384690   
    -6.81525484       -0.726483986   
    -6.74095619       -0.735301134   
    -6.74082725       -0.736173047   
    -6.71613404       -0.735652016   
    -6.71611707       -0.735271612   
    -6.66664405       -0.788410882   
    -6.66661306       -0.790075286   
    -6.64196135       -0.800757578   
    -4.87276577        -1.02325302   
    -4.85452288        -1.03333688   
    -4.84225524        -1.03492253   
    -4.83036866        -1.03898291   
    -4.80120414        -1.03727711   
    -4.79463360        -1.03322989   
    -4.77176350        -1.04055037   
    -4.75263830        -1.03587731   
    -4.71614181        -1.05001994   
    -4.71450811        -1.05572059   
    -4.70962940        -1.03484214   
    -4.68301948        -1.04879097   
    -4.67774793        -1.04173950   
    -4.60808256        -1.02824297   
    -4.60442935        -1.05115897   
    -4.60229801        -1.04931350   
    -4.57203794        -1.04796837   
    -4.50720608        -1.04833331   
    -4.46559703        -1.06551708   
    -4.43616083        -1.06358391   
    -4.41130247        -1.05698363   
    -4.37518408        -1.05895655   
    -4.28392100        -1.05130505   
    -4.27178562        -1.04505119   
    -4.21218526        -1.04435508   
    -4.16116557        -1.04588872   
    -4.12490630        -1.04010094   
    -4.02262723        -1.05277547   
    -4.00644338        -1.04656851   
    -3.93801660        -1.05169091   
    -3.86283085        -1.05770386   
    -3.86044629        -1.05766164   
    -3.85501912        -1.05554031   
    -3.84895367        -1.04586936   
    -3.83849863        -1.05809636   
    -3.82407157        -1.05389236   
    -3.81158270        -1.05724774   
    -3.81103279        -1.05491411   
    -3.75950352        -1.07580929   
    -3.70029037        -1.05288354   
    -3.69201926        -1.05105662   
    -3.67532958        -1.06054852   
    -3.67477472        -1.05954780   
    -3.65580101        -1.06712953   
    -3.65380916        -1.06449104   
    -3.64189462        -1.07039809   
    -3.63523062        -1.05213197   
    -3.63482289        -1.05258760   
    -3.62812061        -1.07181198   
    -3.61722723        -1.05221722   
    -3.61590120        -1.06840877   
    -3.59371928        -1.04692396   
    -3.58755006        -1.06223118   
    -3.57335032        -1.05739730   
    -3.57306426        -1.05537152   
    -3.57018848        -1.05989001   
    -3.55735265        -1.05733441   
    -3.55426905        -1.05541234   
    -3.55412978        -1.05480528   
    -3.55055225        -1.05054093   
    -3.54178414        -1.04456450   
    -3.52677819        -1.04297716   
    -3.52633414        -1.06169267   
    -3.52432513        -1.04373751   
    -3.50562673        -1.03260620   
    -3.50417349        -1.04881744   
    -3.49680550        -1.06244254   
    -3.49441369        -1.06261343   
    -3.49383251        -1.06240299   
    -3.48206853        -1.06057883   
    -3.48171155        -1.06066567   
    -3.46805826        -1.08287568   
    -3.46205995        -1.03735328   
    -3.44012958        -1.05922180   
    -3.43029926        -1.04727402   
    -3.39901504        -1.03313353   
    -3.38073732        -1.05949662   
    -3.36475521        -1.05782355   
    -3.36419325        -1.05822655   
    -3.36060615        -1.04657338   
    -3.35834417        -1.05329213   
    -3.35829902        -1.04992542   
    -3.35470758        -1.07315340   
    -3.34788677        -1.07578902   
    -3.29507287        -1.04354650   
    -3.29471676        -1.04284052   
    -3.29120530        -1.03824149   
    -3.25755954        -1.05486481   
    -3.24831560        -1.05248746   
    -3.23323175        -1.06730720   
    -3.22876480        -1.04753135   
    -3.22792639        -1.02688698   
    -3.22709966        -1.06823369   
    -3.21889814        -1.06923636   
    -3.20827743        -1.04558631   
    -3.20481781        -1.07245780   
    -3.19402066        -1.08111224   
    -3.17505287        -1.08623288   
    -3.16891868        -1.08030359   
    -3.16335441        -1.05553527   
    -3.15392367        -1.09064704   
